protocol_choice,audit_issue,mechanism,city,statistic,before,after,delta,n,paired_p,direction_vs_our_claim,provenance
data-quality exclusion of low-information facility-windows (< 10 distinct readings),X08 / D-018,"a stuck sensor reporting two distinct values across a 1,015-row test window inflates every dispersion statistic it enters, and it inflated the adaptive methods' more than split-CP's",belgrade,ACI across-facility sd,0.0109,0.0077,-0.0032,21,,MIXED — see the ratio row,2026-09-04-x08-before-after.csv
data-quality exclusion of low-information facility-windows (< 10 distinct readings),X08 / D-018,"a stuck sensor reporting two distinct values across a 1,015-row test window inflates every dispersion statistic it enters, and it inflated the adaptive methods' more than split-CP's",belgrade,CQR across-facility sd,0.0282,0.0289,0.0007,21,,MIXED — see the ratio row,2026-09-04-x08-before-after.csv
data-quality exclusion of low-information facility-windows (< 10 distinct readings),X08 / D-018,"the exclusion rule is stated on the inputs only and is blind to every method's performance; the threshold is not delicate (facility 1 -> 1 distinct reading, facility 8 -> 2, next lowest -> 64, so any cutoff in [3, 60] selects the same two)",belgrade,split-CP / ACQR across-facility dispersion RATIO,6.2,7.76,1.56,21,,"MIXED, and it must be reported both ways — the paper's spine STRENGTHENS 6.20x -> 7.76x, while our absolute baseline-failure claims WEAKEN (EnbPI worst facility 0.6640 -> 0.8010) and the EnbPI/ACI ratio weakens 5.57x -> 4.42x",2026-09-04-x08-before-after.csv
unit of inference: pooled fold-facility rows vs facility-clustered,I04,"each facility appears in every fold, so pooling treats repeated measurements on the same unit as independent",belgrade,ACI vs split-CP: p-value,1.620769522080327e-06,1.1444091796875e-05,,21,,AGAINST US — the honest p is 1.8x weaker; all four still survive Holm,2026-09-03-rolling-origin-inference.csv
unit of inference: pooled fold-facility rows vs facility-clustered,I04,"each facility appears in every fold, so pooling treats repeated measurements on the same unit as independent",belgrade,ACI vs CQR: p-value,8.486207792240867e-07,1.430511474609375e-05,,21,,AGAINST US — the honest p is 5.6x weaker; all four still survive Holm,2026-09-03-rolling-origin-inference.csv
unit of inference: pooled fold-facility rows vs facility-clustered,I04,"each facility appears in every fold, so pooling treats repeated measurements on the same unit as independent",belgrade,ACQR vs CQR: p-value,1.2505650765591948e-08,1.430511474609375e-05,,21,,AGAINST US — the honest p is 381.3x weaker; all four still survive Holm,2026-09-03-rolling-origin-inference.csv
unit of inference: pooled fold-facility rows vs facility-clustered,I04,"each facility appears in every fold, so pooling treats repeated measurements on the same unit as independent",belgrade,ACQR vs split-CP: p-value,1.1608545236279743e-08,1.430511474609375e-05,,21,,AGAINST US — the honest p is 410.8x weaker; all four still survive Holm,2026-09-03-rolling-origin-inference.csv
"certification criterion: ""the facility CI contains 0.90"" vs safety + exactness + efficiency",I01,"failing to reject equality is not evidence of equality, and a wider interval passes more easily — so the retired criterion rewarded the method with the widest intervals",belgrade,split-CP: fraction of facilities certified,0.619,0.381,,21,,AGAINST US — the retired criterion certified our own ACI at 0.952-1.000 against split-CP's 0.619-0.714,2026-09-04-phase4-facility.csv
"certification criterion: ""the facility CI contains 0.90"" vs safety + exactness + efficiency",I01,"failing to reject equality is not evidence of equality, and a wider interval passes more easily — so the retired criterion rewarded the method with the widest intervals",belgrade,ACI: fraction of facilities certified,0.9524,0.9524,,21,,AGAINST US — the retired criterion certified our own ACI at 0.952-1.000 against split-CP's 0.619-0.714,2026-09-04-phase4-facility.csv
"certification criterion: ""the facility CI contains 0.90"" vs safety + exactness + efficiency",I01,"failing to reject equality is not evidence of equality, and a wider interval passes more easily — so the retired criterion rewarded the method with the widest intervals",birmingham,split-CP: fraction of facilities certified,0.7143,0.4643,,28,,AGAINST US — the retired criterion certified our own ACI at 0.952-1.000 against split-CP's 0.619-0.714,2026-09-04-phase4-facility.csv
"certification criterion: ""the facility CI contains 0.90"" vs safety + exactness + efficiency",I01,"failing to reject equality is not evidence of equality, and a wider interval passes more easily — so the retired criterion rewarded the method with the widest intervals",birmingham,ACI: fraction of facilities certified,1.0,0.8571,,28,,AGAINST US — the retired criterion certified our own ACI at 0.952-1.000 against split-CP's 0.619-0.714,2026-09-04-phase4-facility.csv
capacity proxy computed over the full record (test window included) vs the training window only,D01,"the proxy for one facility was the constant its dead sensor reported inside the test window (109 against a training maximum of 65), so the policy was scored against a series pinned above its own capacity",belgrade,"allocation vignette: overflow reduction, POINT - INTERVAL (pp)",14.83,0.0,-14.83,20,,AGAINST US — an entire published headline effect was one dead sensor and is now identically zero,"2026-09-04-vignette-{capacity-proxy,contrasts,x08-attribution}.csv; before value is the EXP-015 published figure, reproduced to 4 dp by the repro gate"
safety judged by a one-sided lower bound at the FACILITY level vs at the population level,I01 (second-order),"at this n the lower bound sits 3-6 coverage points below the point estimate, so a facility must over-cover to be called safe",belgrade,split-CP: PICP a facility needs to pass the safety bound,0.88,0.9182,,21,,"AGAINST US at facility level — 0 of 21 adaptive facilities pass, while over-covering split-CP facilities do",2026-09-04-phase4-safe-mechanism.csv
safety judged by a one-sided lower bound at the FACILITY level vs at the population level,I01 (second-order),"at this n the lower bound sits 3-6 coverage points below the point estimate, so a facility must over-cover to be called safe",belgrade,ACI: PICP a facility needs to pass the safety bound,0.88,0.9165,,21,,"AGAINST US at facility level — 0 of 21 adaptive facilities pass, while over-covering split-CP facilities do",2026-09-04-phase4-safe-mechanism.csv
safety judged by a one-sided lower bound at the FACILITY level vs at the population level,I01 (second-order),"at this n the lower bound sits 3-6 coverage points below the point estimate, so a facility must over-cover to be called safe",belgrade,ACQR: PICP a facility needs to pass the safety bound,0.88,0.9095,,21,,"AGAINST US at facility level — 0 of 21 adaptive facilities pass, while over-covering split-CP facilities do",2026-09-04-phase4-safe-mechanism.csv
safety judged by a one-sided lower bound at the FACILITY level vs at the population level,I01 (second-order),"at this n the lower bound sits 3-6 coverage points below the point estimate, so a facility must over-cover to be called safe",birmingham,split-CP: PICP a facility needs to pass the safety bound,0.88,0.9382,,28,,"AGAINST US at facility level — 0 of 21 adaptive facilities pass, while over-covering split-CP facilities do",2026-09-04-phase4-safe-mechanism.csv
safety judged by a one-sided lower bound at the FACILITY level vs at the population level,I01 (second-order),"at this n the lower bound sits 3-6 coverage points below the point estimate, so a facility must over-cover to be called safe",birmingham,ACI: PICP a facility needs to pass the safety bound,0.88,0.9431,,28,,"AGAINST US at facility level — 0 of 21 adaptive facilities pass, while over-covering split-CP facilities do",2026-09-04-phase4-safe-mechanism.csv
safety judged by a one-sided lower bound at the FACILITY level vs at the population level,I01 (second-order),"at this n the lower bound sits 3-6 coverage points below the point estimate, so a facility must over-cover to be called safe",birmingham,ACQR: PICP a facility needs to pass the safety bound,0.88,0.9417,,28,,"AGAINST US at facility level — 0 of 21 adaptive facilities pass, while over-covering split-CP facilities do",2026-09-04-phase4-safe-mechanism.csv
interpolation across a closure/night boundary in the feature build,S02 / X01,"interpolate(limit=1) filled the first slot after closing with the NEXT MORNING's value, so a target could span a night",birmingham,t+90min: % of targets interpolated,25.21,0.0,,28,,EXPOSURE REMOVED — but the effect is NOT separately attributable: the data fix and the C01 fix landed in the same rerun,2026-09-02-v2-representativeness.csv
